t;12;12;13;13;14;14;15;15;16;16;16;17;17;17;17;17;17;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;20;20;20;20;20;20;20;20;21;21;21;21;21;21;21;21;21;22;22;22;22;22;22;22;22;22;23;23;23;23;23;23;23;23;23;23;24;24;24;24;24;24;24;24;24;25;25;25;25;25;25;25;25;25;26;26;26;26;26;26;26;26;27;27;27;27;27;27;28;28;28;28;28;28;29;29;29;29;29;29;30;30;30;30;30;30;30;31;31;31;31;31;31;31;32;32;32;32;32;32;33;33;33;33;33;33;33;34;34;34;34;34;34;34;34;34;35;35;35;35;35;35;35;35;35;36;36;36;36;36;36;36;36;37;37;37;37;37;37;37;38;38;38;38;38;38;39;39;39;39;39;39;40;40;40;40;40;40;41;41;41;41;41;41;42;42;42;42;42;42;42;42;42;43;43;43;43;43;43;43;43;43;43;43;44;44;44;44;44;44;44;44;44;45;45;45;45;45;45;45;45;45;45;45;45;45;46;46;46;46;46;46;46;46;46;46;46;46;46;46;47;47;47;47;47;47;47;47;47;47;47;47;47;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;49;49;49;49;49;49;49;49;49;49;49;49;49;49;50;50;50;50;50;50;50;50;50;50;50;50
t;1;2;1;2;1;2;1;2;1;2;3;1;2;3;4;5;6;1;2;3;4;5;6;7;8;2;3;4;5;6;7;8;9;10;3;4;5;6;7;8;9;10;3;4;5;6;7;8;9;10;11;4;5;6;7;8;9;10;11;12;6;7;8;9;10;11;12;13;14;15;7;8;9;10;11;12;13;14;15;7;8;9;10;11;12;13;14;15;8;9;10;11;12;13;14;15;11;12;13;14;15;16;11;12;13;14;15;16;11;12;13;14;15;16;11;12;13;14;15;16;17;11;12;13;14;15;16;17;12;13;14;15;16;17;12;13;14;15;16;17;18;12;13;14;15;16;17;18;19;20;12;13;14;15;16;17;18;19;20;13;14;15;16;17;18;19;20;15;16;17;18;19;20;21;16;17;18;19;20;21;16;17;18;19;20;21;17;18;19;20;21;22;17;18;19;20;21;22;18;19;20;21;22;23;24;25;26;19;20;21;22;23;24;25;26;27;28;29;21;22;23;24;25;26;27;28;29;22;23;24;25;26;27;28;29;30;31;32;33;34;22;23;24;25;26;27;28;29;30;31;32;33;34;35;23;24;25;26;27;28;29;30;31;32;33;34;35;36;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;24;25;26;27;28;29;30;31;32;33;34;35;36;37;27;28;29;30;31;32;33;34;35;36;37;38
9000;0.653265;0.346735;0.601491;0.398509;0.424143;0.575857;0.400412;0.599588;0.1398;0.170412;0.689788;0.0586262;0.0645081;0.483547;0.252084;0.141235;0;0.0169364;0.0323516;0.27412;0.317866;0.358726;0;0;0;0.023033;0.216399;0.342589;0.417979;0;0;0;0;0;0.220199;0.351458;0.428343;0;0;0;0;0;0.160124;0.387035;0.452841;0;0;0;0;0;0;0.618844;0.381156;0;0;0;0;0;0;1.4061e-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0624522;0.0622912;0.0225201;0.000403617;0.449635;0.402698;0.0258609;0.0259453;0.0078851;0.000145042;0.291991;0.354966;0.293207;0;0;0;0;0;0;0;0;0;0.0144531;0.0147964;0.00444481;9.26099e-05;0.209735;0.274755;0.392359;0.0713942;0.0179705;0.0140643;0.00465641;0.000124905;0.130937;0.186047;0.29016;0.209654;0.164357;0.00268437;0.114163;0.146094;0.239161;0.254505;0.242027;0.00136553;0.109118;0.132317;0.217967;0.252391;0.250483;0.0377252;0.102737;0.122493;0.200866;0.239403;0.24125;0.0932514;0.145612;0.180069;0.228126;0.231749;0.214356;8.83506e-05;0.0852855;0.115133;0.122043;0.11964;0.200321;0.357578;0.0607266;0.040427;0.0399092;0.171932;0.687005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.164508;0.437058;0;0.398165;0.000268884;0;0;0;0;0;0;0;0;0;0.0902895;0.26451;0;0.343959;0.301242;1.05737e-10;0;0;0;0;0;0;0;0;0.0849086;0.258248;0;0.339387;0.317415;4.18933e-05;0;0;0;0;0;0.0500436;0.171291;0;0.213574;0.22733;0.199087;0.138674
9001;0.653265;0.346735;0.601491;0.398509;0.424143;0.575857;0.400412;0.599588;0.137949;0.168155;0.693895;0.0579019;0.0637111;0.483513;0.25325;0.141624;0;0.0167156;0.0319298;0.272238;0.31905;0.360067;0;0;0;0.0227741;0.214664;0.343426;0.419136;0;0;0;0;0;0.21843;0.352189;0.42938;0;0;0;0;0;0.159246;0.387358;0.453396;0;0;0;0;0;0;0.618783;0.381217;0;0;0;0;0;0;1.40323e-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0621477;0.0619899;0.0224209;0.000401969;0.451698;0.401342;0.0257749;0.0258601;0.00786246;0.000144671;0.29372;0.354343;0.292294;0;0;0;0;0;0;0;0;0;0.0144183;0.0147613;0.00443606;9.24555e-05;0.211103;0.274515;0.391506;0.0712388;0.0179296;0.0140437;0.0046513;0.000124803;0.131833;0.186035;0.289789;0.209389;0.164134;0.00268284;0.114882;0.146111;0.238926;0.25426;0.241774;0.00136444;0.109771;0.132338;0.217774;0.252172;0.250246;0.037699;0.103335;0.122516;0.200703;0.239213;0.24104;0.0931933;0.145739;0.180036;0.228088;0.231691;0.214358;8.85058e-05;0.0852971;0.115044;0.121952;0.119543;0.200204;0.35796;0.0606551;0.0403803;0.0398607;0.17176;0.687344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.164883;0.437004;0;0.397844;0.000268591;0;0;0;0;0;0;0;0;0;0.0905174;0.264577;0;0.343825;0.301081;1.05671e-10;0;0;0;0;0;0;0;0;0.0851237;0.258319;0;0.339262;0.317253;4.18829e-05;0;0;0;0;0;0.050158;0.171331;0;0.2135;0.227222;0.199085;0.138704
9002;0.653266;0.346734;0.601492;0.398508;0.424144;0.575856;0.400413;0.599587;0.136215;0.166042;0.697743;0.0571569;0.0628913;0.481003;0.255984;0.142965;0;0.0164833;0.0314862;0.269444;0.320616;0.36197;0;0;0;0.0224997;0.212493;0.344411;0.420597;0;0;0;0;0;0.216262;0.353047;0.430691;0;0;0;0;0;0.158361;0.387659;0.45398;0;0;0;0;0;0;0.618713;0.381287;0;0;0;0;0;0;1.40033e-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0616889;0.0615327;0.0222574;0.000399063;0.453241;0.400881;0.0256054;0.0256901;0.0078114;0.00014374;0.294755;0.354205;0.29179;0;0;0;0;0;0;0;0;0;0.0143329;0.014674;0.00441012;9.19203e-05;0.211866;0.274512;0.391136;0.0710989;0.0178787;0.0139746;0.00462875;0.000124204;0.132327;0.18613;0.289724;0.209219;0.163873;0.0026719;0.115248;0.146184;0.238911;0.254136;0.241489;0.001361;0.110098;0.132409;0.217783;0.252089;0.250002;0.0376193;0.103636;0.122592;0.200736;0.23917;0.240847;0.0930194;0.145906;0.180154;0.228161;0.231621;0.214069;8.84828e-05;0.0853601;0.115092;0.12197;0.119494;0.199941;0.358143;0.0606532;0.0403735;0.0398346;0.17152;0.687619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.165347;0.43691;0;0.397474;0.000268269;0;0;0;0;0;0;0;0;0;0.0907983;0.264637;0;0.343669;0.300896;1.05601e-10;0;0;0;0;0;0;0;0;0.085389;0.258383;0;0.339118;0.317068;4.18681e-05;0;0;0;0;0;0.0503041;0.171378;0;0.213425;0.22711;0.199064;0.138719
9003;0.653626;0.346374;0.601872;0.398128;0.42451;0.57549;0.400766;0.599234;0.135133;0.16458;0.700286;0.0564116;0.062045;0.477663;0.259523;0.144357;0;0.01623;0.0309987;0.266481;0.322845;0.363446;0;0;0;0.0221822;0.210221;0.346014;0.421583;0;0;0;0;0;0.213973;0.354506;0.431521;0;0;0;0;0;0.157374;0.388341;0.454286;0;0;0;0;0;0;0.618804;0.381196;0;0;0;0;0;0;1.39556e-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0612863;0.0611313;0.0221125;0.000396473;0.452194;0.402879;0.0253708;0.0254548;0.00773992;0.000142426;0.292908;0.353846;0.294538;0;0;0;0;0;0;0;0;0;0.0141859;0.0145234;0.00436493;9.0979e-05;0.21019;0.273577;0.394001;0.0712168;0.0178503;0.0138331;0.00458189;0.000122947;0.131216;0.18526;0.291187;0.209844;0.163955;0.00264858;0.114372;0.145499;0.239725;0.254784;0.241618;0.00135205;0.109338;0.13184;0.218461;0.252744;0.250194;0.0374241;0.102974;0.12211;0.20137;0.23984;0.241103;0.0926026;0.145361;0.180672;0.228782;0.231876;0.213221;8.79182e-05;0.085145;0.115572;0.122477;0.119797;0.199451;0.357559;0.0608968;0.0405542;0.039953;0.171241;0.687355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.165864;0.436849;0;0.397019;0.000267814;0;0;0;0;0;0;0;0;0;0.0911199;0.264748;0;0.343483;0.300649;1.05453e-10;0;0;0;0;0;0;0;0;0.0856929;0.258499;0;0.338946;0.316819;4.18404e-05;0;0;0;0;0;0.0504687;0.171458;0;0.21334;0.226963;0.199045;0.138725
9004;0.657626;0.342374;0.606221;0.393779;0.428862;0.571138;0.404931;0.595069;0.14032;0.16555;0.69413;0.0596919;0.063017;0.476118;0.258016;0.143157;0;0.0175486;0.0318152;0.266689;0.322245;0.361702;0;0;0;0.0229013;0.210807;0.345983;0.420309;0;0;0;0;0;0.214786;0.35472;0.430494;0;0;0;0;0;0.15785;0.388569;0.453581;0;0;0;0;0;0;0.619155;0.380845;0;0;0;0;0;0;1.39221e-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0611193;0.0609648;0.0220533;0.000395429;0.451612;0.403855;0.0252297;0.0253133;0.00769719;0.000141645;0.291585;0.353174;0.296859;0;0;0;0;0;0;0;0;0;0.0140908;0.0144262;0.00433583;9.03754e-05;0.208965;0.272593;0.396192;0.0714383;0.0178686;0.0137364;0.00454999;0.000122095;0.130388;0.18443;0.292205;0.210423;0.164146;0.00263208;0.113713;0.144871;0.240286;0.255331;0.24182;0.00134688;0.108761;0.131315;0.218926;0.253272;0.250417;0.0373106;0.102467;0.121659;0.201801;0.240362;0.241351;0.0923599;0.144847;0.181012;0.229241;0.232097;0.212715;8.76522e-05;0.0848858;0.115807;0.122757;0.119953;0.1991;0.357496;0.0609694;0.0406256;0.0399902;0.170964;0.687451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166133;0.436944;0;0.396656;0.000267231;0;0;0;0;0;0;0;0;0;0.0912986;0.264928;0;0.343361;0.300413;1.05077e-10;0;0;0;0;0;0;0;0;0.0858619;0.25868;0;0.338835;0.316581;4.17891e-05;0;0;0;0;0;0.0505481;0.171548;0;0.213269;0.226812;0.199102;0.138721
9005;0.659306;0.340694;0.607881;0.392119;0.42995;0.57005;0.40589;0.59411;0.144591;0.168672;0.686737;0.0630033;0.0653602;0.474647;0.255372;0.141618;0;0.0190722;0.0336911;0.267538;0.320366;0.359332;0;0;0;0.0245251;0.212147;0.344795;0.418533;0;0;0;0;0;0.216756;0.354006;0.429238;0;0;0;0;0;0.159087;0.388152;0.452761;0;0;0;0;0;0;0.619318;0.380682;0;0;0;0;0;0;1.40081e-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0613953;0.061232;0.022153;0.000397906;0.451384;0.403438;0.0253508;0.0254313;0.00773386;0.000142557;0.291555;0.352962;0.296824;0;0;0;0;0;0;0;0;0;0.014157;0.014492;0.00435601;9.09403e-05;0.208964;0.272464;0.396188;0.071426;0.0178622;0.0137957;0.00456999;0.000122811;0.1304;0.184366;0.292227;0.210411;0.164108;0.00264653;0.11373;0.144835;0.240319;0.255336;0.241787;0.00134695;0.108778;0.131285;0.218958;0.253279;0.250387;0.0373131;0.102482;0.121632;0.201829;0.240368;0.241323;0.0923659;0.144818;0.181038;0.22925;0.232073;0.212732;8.78265e-05;0.0848125;0.115742;0.122678;0.119861;0.198981;0.357925;0.0609022;0.0405784;0.0399397;0.170776;0.687804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166277;0.437033;0;0.396423;0.000266841;0;0;0;0;0;0;0;0;0;0.0913974;0.265059;0;0.343285;0.300258;1.04846e-10;0;0;0;0;0;0;0;0;0.0859553;0.258812;0;0.338766;0.316426;4.17675e-05;0;0;0;0;0;0.0505846;0.171592;0;0.213198;0.226685;0.199181;0.138758
9006;0.65913;0.34087;0.607686;0.392314;0.429734;0.570266;0.405678;0.594322;0.143498;0.167453;0.689049;0.0622346;0.0645879;0.481429;0.252105;0.139643;0;0.0188642;0.0333376;0.274424;0.317887;0.355487;0;0;0;0.0243146;0.217644;0.342995;0.415046;0;0;0;0;0;0.222049;0.352195;0.425757;0;0;0;0;0;0.161399;0.387512;0.451089;0;0;0;0;0;0;0.619848;0.380152;0;0;0;0;0;0;1.39595e-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0624221;0.0622264;0.0224901;0.00040582;0.450528;0.401927;0.0258351;0.0259039;0.00786864;0.00014571;0.2916;0.352373;0.296273;0;0;0;0;0;0;0;0;0;0.0144303;0.0147642;0.00443271;9.29546e-05;0.209138;0.27221;0.395749;0.0713422;0.0178407;0.0140446;0.0046473;0.000125409;0.13056;0.184289;0.292058;0.210276;0.163999;0.00269991;0.113894;0.144823;0.240263;0.255262;0.241711;0.00134672;0.108935;0.131283;0.218922;0.253224;0.250326;0.0373094;0.102627;0.121631;0.201798;0.240319;0.241268;0.0923576;0.144838;0.181038;0.229238;0.232055;0.212744;8.79271e-05;0.0847905;0.115698;0.122625;0.119807;0.198916;0.358164;0.060862;0.04055;0.0399111;0.170672;0.688005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166438;0.437071;0;0.396224;0.000266588;0;0;0;0;0;0;0;0;0;0.0915018;0.265146;0;0.343213;0.300139;1.04761e-10;0;0;0;0;0;0;0;0;0.086054;0.2589;0;0.3387;0.316305;4.17654e-05;0;0;0;0;0;0.050627;0.171617;0;0.21313;0.226578;0.199234;0.138814
9007;0.65913;0.34087;0.607686;0.392314;0.429734;0.570266;0.405677;0.594323;0.142147;0.165876;0.691977;0.0614142;0.0637364;0.486508;0.250147;0.138194;0;0.0186014;0.0328733;0.277192;0.317729;0.353605;0;0;0;0.0240199;0.219136;0.343309;0.413536;0;0;0;0;0;0.223318;0.352452;0.42423;0;0;0;0;0;0.161311;0.388044;0.450646;0;0;0;0;0;0;0.620125;0.379875;0;0;0;0;0;0;1.389e-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0621951;0.0620004;0.0224182;0.000404954;0.452893;0.400088;0.0257915;0.0258603;0.00785883;0.000145681;0.293786;0.35157;0.294987;0;0;0;0;0;0;0;0;0;0.0144229;0.0147567;0.00443233;9.30414e-05;0.210937;0.271936;0.394548;0.0710963;0.017778;0.0140539;0.00465222;0.000125663;0.131792;0.184335;0.291561;0.209836;0.163645;0.00270569;0.11489;0.144902;0.239974;0.254864;0.24132;0.0013447;0.109842;0.131363;0.218693;0.252875;0.249967;0.0372603;0.103459;0.121712;0.201611;0.240018;0.240953;0.0922478;0.145096;0.181034;0.229151;0.231953;0.212678;8.80023e-05;0.0849012;0.115662;0.122548;0.119725;0.198803;0.358361;0.0608326;0.0405187;0.0398784;0.17055;0.68822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166635;0.437075;0;0.396024;0.000266375;0;0;0;0;0;0;0;0;0;0.0916252;0.265214;0;0.343137;0.300024;1.04719e-10;0;0;0;0;0;0;0;0;0.0861705;0.258969;0;0.338629;0.31619;4.1765e-05;0;0;0;0;0;0.0506833;0.171642;0;0.21307;0.226484;0.19926;0.138861
