t;N;D;PP;SP;PR;SR;TR;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50
9012;0.0261984;196.243;636.367;15.7687;37.404;14.8602;56.3988;0.0673953;0.0373242;88.7238;54.2225;44.2193;0;0;0;0;0;0;6.87058;7.66537;13.1665;18.8394;0.00303937;0.0126914;0.0506022;0.18383;0.165462;0.64712;4.6397;0;0;0;0;0;0;0;0;0;4.08858;5.7242;0;4.48857;2.40876;4.18957;5.0429;24.5999;11.0632;5.0437;1.20435e-16;0;0;0;0;4.58995e-12;0.231418;1.44343;6.01985
9013;0.0201085;198.306;658.469;27.591;54.9881;6.98499;59.772;0.000740864;0.000229757;105.683;75.1748;71.1516;0;0;0;0;0;0;1.06581;1.21081;2.4603;3.64151;0.0140659;0.0733203;0.216174;0.730022;0.669491;1.44227;7.59382;0;0;0;0;0;0;0;0;0;2.43501;3.15319;0;2.47013;1.38991;2.61145;3.26613;16.6083;7.77439;4.499;1.28088e-16;0;0;0;0;4.64511e-12;0.226778;1.41123;5.86322
9014;0.021869;201.661;648.693;93.5552;48.1158;11.5049;58.2959;0.00139724;0.000355898;98.1808;64.2968;66.0641;0;0;0;0;0;0;0.173141;0.201043;0.478499;0.734189;0.102096;0.764276;1.88343;5.05316;4.60025;4.05988;12.8138;0;0;0;0;0;0;0;0;0;1.36957;1.77756;0;1.44944;0.90272;1.86138;2.42382;12.9234;6.3245;4.90149;1.72175e-16;0;0;0;0;4.27358e-12;0.206288;1.28227;5.37315
9015;0.0433131;204.222;613.125;286.589;20.8319;32.3161;52.9568;0.026612;0.00560076;74.3924;17.2799;17.5867;0;0;0;0;0;0;0.0286921;0.0340885;0.0941512;0.149273;0.804405;7.78535;12.3092;23.7033;21.6206;9.03684;17.6372;0;0;0;0;0;0;0;0;0;0.949143;1.49442;0;1.44022;1.17792;2.64484;3.43625;18.4065;9.19164;7.92772;3.15679e-16;0;0;0;0;3.76368e-12;0.182024;1.13106;4.83285
9016;0.0430896;198.978;605.691;234.467;18.4438;27.995;51.7027;45.641;6.89447;34.3335;0.671511;0.890313;0;0;0;0;0;0;0.0130447;0.0149839;0.0380717;0.0601182;3.69837;24.0095;10.7897;13.7573;13.105;5.77146;8.42101;0;0;0;0;0;0;0;0;0;1.48667;2.97607;0;3.19891;3.0577;6.62616;8.01734;40.1838;19.8092;14.6655;5.61032e-16;0;0;0;0;3.42674e-12;0.167325;1.03981;4.62638
9017;0.0229802;199.193;652.553;83.7503;47.9129;13.8055;58.8773;108.275;45.2578;5.00053;0.12473;0.274334;0;0;0;0;0;0;1.45345;1.43423;1.44264;1.88866;4.66385;4.68672;0.47137;0.460839;0.443134;0.718964;2.00478;0;0;0;0;0;0;0;0;0;2.30079;4.20299;0;4.02478;3.46882;7.25542;8.63281;41.6146;21.022;15.2237;5.81762e-16;0;0;0;0;3.43805e-12;0.168162;1.04464;4.84641
9018;0.0436472;200.743;627.449;45.7115;23.9546;23.0835;54.9671;0.173176;0.724835;92.6532;4.52357;11.0628;0;0;0;0;0;0;20.3562;19.2801;13.7217;16.286;5.24959;1.16655;0.0305978;0.0245986;0.0233333;0.11349;0.537331;0;0;0;0;0;0;0;0;0;2.68684;3.55785;0;2.98923;2.37882;5.01626;6.08074;29.3366;14.6878;11.2221;4.54066e-16;0;0;0;0;3.42544e-12;0.166156;1.03132;4.93805
9019;0.0280334;199.929;628.793;162.07;33.6088;21.6859;55.2823;6.06904e-05;0.00143232;71.1172;33.7163;69.5894;0;0;0;0;0;0;3.10688;3.01558;2.59742;3.19896;26.9665;6.41433;0.0658668;0.0369487;0.0360379;0.127676;0.463132;0;0;0;0;0;0;0;0;0;4.85994;4.1871;0;2.82428;1.88427;3.90458;4.77033;23.0872;10.3927;8.13387;3.38739e-16;0;0;0;0;3.36421e-12;0.159977;0.991547;4.83745
9020;0.0244225;198.77;651.28;60.0775;49.794;9.6634;58.6806;5.72283e-05;0.00135546;1.39179;85.2826;127.33;0;0;0;0;0;0;0.464748;0.460826;0.491912;0.646361;5.65605;7.84217;0.259436;0.168637;0.168858;0.324278;0.714351;0;0;0;0;0;0;0;0;0;13.3082;7.39452;0;3.69342;1.85306;3.60307;4.35301;20.8933;8.08303;6.24114;2.55255e-16;0;0;0;0;3.734e-12;0.16525;1.01974;4.88538
9021;0.0235581;200.995;654.99;59.0306;51.934;8.38623;59.2463;0.000361805;0.00806979;2.29444;99.9227;120.546;0;0;0;0;0;0;0.0650448;0.0658958;0.091249;0.131444;0.217818;5.93089;1.36894;1.18531;1.21067;1.0698;1.2713;0;0;0;0;0;0;0;0;0;12.2615;6.31194;0;2.90759;1.36273;2.68744;3.2966;16.1009;6.40507;4.92349;2.00152e-16;0;0;0;0;4.35746e-12;0.174676;1.0714;4.94196
