t;N;D;PP;SP;PR;SR;TR;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50
9012;0.0261984;196.243;636.367;15.7687;37.404;14.8602;56.3988;0;0;0.0119284;0.0064334;20.453;9.59366;7.33901;0;0;0;0;0;0;1.50629;1.66132;2.6876;3.86009;0.00135879;0.00582295;0.0216476;0.0715846;0.0637779;0.17571;0.940662;0;0;0;0;0;0;0;0;0;0.306603;0.387309;0;0.282516;0.13762;0.21923;0.253497;1.29014;0.538809;0.239289;5.40413e-18;0;0;0;0;1.4339e-13;0.00651724
9013;0.0201085;198.306;658.469;27.591;54.9881;6.98499;59.772;0;0;0.000131054;3.95899e-05;26.3419;14.9004;13.7456;0;0;0;0;0;0;0.227578;0.255028;0.481059;0.703816;0.00646661;0.0350942;0.0990819;0.305699;0.277049;0.413315;1.60281;0;0;0;0;0;0;0;0;0;0.174293;0.208448;0;0.153729;0.0795348;0.13751;0.165587;0.860699;0.381492;0.223417;6.1472e-18;0;0;0;0;1.3537e-13;0.00600827
9014;0.021869;201.661;648.693;93.5552;48.1158;11.5049;58.2959;0;0;0.000247164;6.13255e-05;23.6585;12.0339;12.4231;0;0;0;0;0;0;0.0368501;0.0421891;0.0928831;0.140398;0.0464579;0.360878;0.847802;2.0854;1.87607;1.15209;2.70169;0;0;0;0;0;0;0;0;0;0.0983165;0.120526;0;0.0945464;0.0561727;0.107851;0.135361;0.727745;0.341976;0.268695;9.14302e-18;0;0;0;0;1.19212e-13;0.00526893
9015;0.0433131;204.222;613.125;286.589;20.8319;32.3161;52.9568;0;0;0.00470849;0.000965121;15.9717;2.40906;2.44547;0;0;0;0;0;0;0.006114;0.00716083;0.0182738;0.0285195;0.350047;3.37371;4.5775;7.98909;7.20572;2.13896;3.15275;0;0;0;0;0;0;0;0;0;0.0762922;0.121239;0;0.116797;0.09528;0.200052;0.247882;1.32833;0.628365;0.499975;1.82401e-17;0;0;0;0;1.04168e-13;0.00464214
9016;0.0430896;198.978;605.691;234.467;18.4438;27.995;51.7027;0;0;11.1442;1.25625;5.85225;0.0822922;0.108777;0;0;0;0;0;0;0.00702193;0.00781314;0.0166517;0.0253943;1.46649;8.45913;2.82789;3.10826;2.92869;0.957318;0.926288;0;0;0;0;0;0;0;0;0;0.142505;0.274117;0;0.27859;0.245231;0.485738;0.558712;2.92283;1.32778;0.871719;2.86009e-17;0;0;0;0;1.00034e-13;0.00452859
9017;0.0229802;199.193;652.553;83.7503;47.9129;13.8055;58.8773;0;0;36.4343;10.7396;0.690355;0.0152161;0.0333468;0;0;0;0;0;0;0.997823;0.967547;0.852303;1.08152;1.80803;1.29158;0.0946323;0.0755488;0.0672321;0.0899199;0.205553;0;0;0;0;0;0;0;0;0;0.190122;0.313485;0;0.275735;0.211778;0.405948;0.46388;2.41418;1.09735;0.735026;2.44982e-17;0;0;0;0;1.03747e-13;0.00467404
9018;0.0436472;200.743;627.449;45.7115;23.9546;23.0835;54.9671;0;0;0.0306777;0.125652;21.7609;0.572049;1.46536;0;0;0;0;0;0;4.80151;4.47801;2.91433;3.43759;2.38397;0.522942;0.0110937;0.00773178;0.00727077;0.0249396;0.0774425;0;0;0;0;0;0;0;0;0;0.230836;0.262766;0;0.200416;0.141537;0.270813;0.314882;1.59664;0.723858;0.511928;1.82054e-17;0;0;0;0;1.01284e-13;0.00449569
9019;0.0280334;199.929;628.793;162.07;33.6088;21.6859;55.2823;0;0;1.07357e-05;0.000246809;15.0113;5.26333;13.3339;0;0;0;0;0;0;0.668396;0.639391;0.508145;0.617306;12.0827;2.86118;0.0279745;0.0144348;0.0139413;0.0349449;0.0926852;0;0;0;0;0;0;0;0;0;0.506425;0.372374;0;0.221436;0.125545;0.233052;0.271276;1.34241;0.520663;0.373454;1.35537e-17;0;0;0;0;1.01363e-13;0.00435241
9020;0.0244225;198.77;651.28;60.0775;49.794;9.6634;58.6806;0;0;1.01232e-05;0.000233565;0.186598;17.7792;31.8279;0;0;0;0;0;0;0.0990157;0.096794;0.0954913;0.123563;1.09542;3.05524;0.117869;0.0728177;0.0722016;0.097481;0.152492;0;0;0;0;0;0;0;0;0;1.18586;0.580257;0;0.26104;0.11478;0.201939;0.233281;1.14636;0.40714;0.288128;1.03167e-17;0;0;0;0;1.22911e-13;0.00476969
9021;0.0235581;200.995;654.99;59.0306;51.934;8.38623;59.2463;0;0;6.40007e-05;0.00139061;0.309904;22.317;29.3057;0;0;0;0;0;0;0.0138407;0.0138245;0.0176939;0.0250897;0.0434481;2.35726;0.628084;0.515439;0.521194;0.322893;0.272557;0;0;0;0;0;0;0;0;0;0.990126;0.463651;0;0.197181;0.0832182;0.149658;0.175898;0.870765;0.327525;0.231197;8.31389e-18;0;0;0;0;1.39997e-13;0.00492583
9022;0.0290186;202.706;630.345;192.264;35.826;20.4031;55.5287;0;0;0.000758921;0.015103;0.775152;16.6975;18.3375;0;0;0;0;0;0;0.00200765;0.0020522;0.00334666;0.00515151;0.00382366;2.6054;4.07088;4.13179;4.22302;1.11599;0.497303;0;0;0;0;0;0;0;0;0;0.80726;0.450215;0;0.205759;0.0931033;0.174044;0.204751;1.0108;0.391875;0.242796;7.94951e-18;0;0;0;0;1.51781e-13;0.00493241
9023;0.0540338;200.318;597.103;279.824;13.1014;31.5903;50.3914;0;0;0.340129;5.6893;1.79476;3.37701;1.90019;0;0;0;0;0;0;0.000731967;0.000822786;0.00202397;0.0033982;0.000847481;1.33885;5.55916;7.41324;7.91518;1.73174;0.63566;0;0;0;0;0;0;0;0;0;0.630544;0.649937;0;0.408128;0.251268;0.480779;0.531038;2.53062;0.931999;0.399749;9.86943e-18;0;0;0;0;1.77431e-13;0.00539175
9024;0.0215651;198.418;661.359;29.5841;54.3139;8.33211;60.2059;0;0;9.10434;43.5861;1.17926;0.324377;0.119838;0;0;0;0;0;0;0.0370808;0.0497923;0.144024;0.228504;0.000670488;0.158518;0.260025;0.395124;0.330373;0.285186;0.216007;0;0;0;0;0;0;0;0;0;0.364046;0.437551;0;0.309054;0.22378;0.454244;0.504249;2.45435;0.920148;0.36607;8.84359e-18;0;0;0;0;2.00735e-13;0.0058785
9025;0.0318422;204.379;622.672;269.367;25.1869;33.683;54.4249;0;0;8.86459;10.7406;4.44527;0.822263;0.314203;0;0;0;0;0;0;3.0378;4.22591;9.19875;12.9777;0.00096542;0.0456305;0.0233335;0.0330095;0.0267761;0.0780033;0.107984;0;0;0;0;0;0;0;0;0;0.217347;0.243078;0;0.171684;0.128866;0.27597;0.315367;1.51512;0.609725;0.262013;6.75678e-18;0;0;0;0;1.93715e-13;0.00557282
9026;0.0225759;199.618;661.131;9.63692;53.298;7.96896;60.1701;0;0;0.000860305;0.000134626;38.7435;10.3809;4.17263;0;0;0;0;0;0;0.473319;0.651305;1.45683;2.03355;0.00561734;0.302239;0.0632461;0.0623296;0.0526385;0.12696;0.165742;0;0;0;0;0;0;0;0;0;0.142884;0.141124;0;0.0978556;0.0755157;0.170673;0.200877;0.971548;0.413652;0.189531;5.17853e-18;0;0;0;0;1.74093e-13;0.00497739
9027;0.0211093;201.421;652.966;62.2941;51.3458;8.46445;58.9406;0;0;0.000260943;2.2742e-05;25.5403;15.9713;9.83397;0;0;0;0;0;0;0.0769007;0.107657;0.274278;0.39026;0.0494602;3.83992;0.524583;0.347647;0.290796;0.327933;0.290863;0;0;0;0;0;0;0;0;0;0.10817;0.102434;0;0.0683783;0.0516953;0.121237;0.146312;0.719184;0.323826;0.151776;4.19677e-18;0;0;0;0;1.50434e-13;0.00430907
9028;0.0433078;204.72;613.489;297.73;19.2088;34.9225;53.0218;0;0;0.00204214;0.000138398;2.91393;6.72387;9.5688;0;0;0;0;0;0;0.0127455;0.0182434;0.0536584;0.0786607;0.164802;22.3887;3.85257;2.08597;1.74282;0.915303;0.50048;0;0;0;0;0;0;0;0;0;0.320867;0.309947;0;0.167602;0.0927601;0.185938;0.212323;1.01713;0.478749;0.183827;3.96273e-18;0;0;0;0;1.40197e-13;0.00395011
9029;0.0530242;199.541;597.239;285.73;14.5953;30.7073;50.4351;0;0;3.57511;0.141541;0.122633;2.09879;8.65726;0;0;0;0;0;0;0.00541223;0.00749878;0.0213745;0.0319202;0.0198326;7.61077;5.30172;4.16857;3.6793;1.65463;0.696084;0;0;0;0;0;0;0;0;0;1.1182;1.29294;0;0.61547;0.255614;0.418382;0.435312;2.00758;0.934431;0.268737;4.47751e-18;0;0;0;0;1.93758e-13;0.00490006
9030;0.0235471;197.456;655.872;61.2271;50.777;11.8877;59.3775;0;0;45.1349;3.49601;0.0853656;0.552035;1.50865;0;0;0;0;0;0;0.479754;0.555899;0.655711;0.862178;0.00409487;0.257969;0.260869;0.499795;0.496014;0.622477;0.461181;0;0;0;0;0;0;0;0;0;0.783091;1.01006;0;0.514274;0.233392;0.395313;0.415354;1.95938;0.953427;0.266653;4.47297e-18;0;0;0;0;2.88295e-13;0.00641004
9031;0.0412451;199.196;617.182;40.6272;21.7779;21.2266;53.4203;0;0;0.194191;0.175749;1.523;5.13574;14.7493;0;0;0;0;0;0;4.21354;4.36052;3.03989;3.71607;0.000653685;0.0225082;0.0403078;0.160529;0.176415;0.489897;0.534018;0;0;0;0;0;0;0;0;0;0.571917;0.59727;0;0.297831;0.139585;0.245439;0.267071;1.27063;0.66179;0.21147;3.91028e-18;0;0;0;0;3.36198e-13;0.00684774
9032;0.0214262;196.17;649.086;47.3335;50.5535;9.55149;58.3498;0;0;0.000104271;0.000371929;9.3364;16.0371;25.1796;0;0;0;0;0;0;0.540324;0.568168;0.501773;0.64414;0.000637026;0.0377408;0.159911;0.774364;0.873939;1.33892;1.00247;0;0;0;0;0;0;0;0;0;0.341422;0.32755;0;0.167108;0.0855603;0.163799;0.187414;0.922551;0.520998;0.193074;3.98937e-18;0;0;0;0;3.41209e-13;0.0065888
9033;0.0254561;199.58;629.439;178.817;37.1998;19.8579;55.3879;0;0;0.000155407;0.000606222;15.2517;10.6284;11.319;0;0;0;0;0;0;0.0842886;0.090496;0.0958188;0.1287;0.00225758;0.182873;1.05664;4.59536;5.18921;3.57314;1.74823;0;0;0;0;0;0;0;0;0;0.189325;0.189783;0;0.110795;0.0771286;0.171052;0.206453;1.068;0.662475;0.253959;5.4721e-18;0;0;0;0;3.13735e-13;0.00594479
9034;0.0478403;200.151;607.744;271.129;20.0771;29.9635;52.0955;0;0;0.011441;0.0362392;17.9302;1.33969;0.759504;0;0;0;0;0;0;0.0139253;0.0152975;0.0190785;0.0266343;0.0118723;0.907941;2.4834;7.06717;8.0621;3.88135;1.5311;0;0;0;0;0;0;0;0;0;0.114352;0.145933;0;0.116131;0.144548;0.373492;0.451522;2.39403;1.5438;0.487638;9.45909e-18;0;0;0;0;2.80425e-13;0.00537093
9035;0.0302456;194.933;617.068;160.166;31.5738;19.0714;53.4784;0;0;2.2253;5.83551;23.0078;0.35508;0.150077;0;0;0;0;0;0;0.0124852;0.0146466;0.0229842;0.0329983;0.066415;3.04074;1.51407;1.8909;2.20247;1.51352;0.542976;0;0;0;0;0;0;0;0;0;0.0906433;0.134755;0;0.120533;0.187838;0.516915;0.62584;3.41693;2.31011;0.640855;1.14918e-17;0;0;0;0;2.50642e-13;0.00495768
9036;0.0207484;194.849;642.452;95.612;45.7695;14.6017;57.3465;0;0;13.0892;21.4813;10.7238;0.315949;0.159247;0;0;0;0;0;0;0.554345;0.682821;0.899793;1.17247;0.293335;3.41502;0.250402;0.127896;0.151111;0.269908;0.179419;0;0;0;0;0;0;0;0;0;0.0911183;0.127606;0;0.104273;0.148336;0.402966;0.491913;2.6323;1.89924;0.538472;9.55289e-18;0;0;0;0;2.22696e-13;0.00450991
9037;0.0361063;199.447;633.784;98.0148;30.7628;23.1663;56.004;0;0;0.0900696;0.135285;27.6214;1.80145;1.11461;0;0;0;0;0;0;2.03257;2.51673;2.84291;3.48193;1.31096;5.56656;0.087773;0.0211221;0.0255128;0.0863411;0.102822;0;0;0;0;0;0;0;0;0;0.123;0.136707;0;0.0945237;0.116437;0.304874;0.372864;1.9253;1.44125;0.41666;7.21554e-18;0;0;0;0;1.97163e-13;0.00404183
9038;0.0378729;199.691;612.729;235.322;22.1212;29.2548;52.849;0;0;0.00219734;0.00335671;4.45644;8.36904;9.29017;0;0;0;0;0;0;0.308711;0.385326;0.500526;0.624188;4.55545;16.3036;0.151729;0.0223573;0.0273235;0.0898011;0.139665;0;0;0;0;0;0;0;0;0;0.445899;0.401794;0;0.196629;0.162518;0.360154;0.420367;2.06614;1.54103;0.394149;5.48378e-18;0;0;0;0;1.93086e-13;0.00388772
9039;0.0276787;196.065;633.142;113.309;40.0879;15.0695;55.9278;0;0;0.0137839;0.0177169;0.222062;13.6257;26.2086;0;0;0;0;0;0;0.0478491;0.0607408;0.0961537;0.126891;0.293921;6.4612;0.24983;0.0392926;0.0493918;0.144107;0.226721;0;0;0;0;0;0;0;0;0;1.19179;0.896431;0;0.318425;0.184657;0.355902;0.401321;1.92649;1.47419;0.34694;4.29334e-18;0;0;0;0;2.51293e-13;0.00455134
9040;0.0230973;197.418;654.103;40.8132;52.5687;8.27828;59.109;0;0;0.123832;0.145813;0.52857;21.5969;30.1736;0;0;0;0;0;0;0.00769428;0.00993672;0.0205138;0.0297932;0.010885;1.49952;0.418511;0.0890874;0.115275;0.254419;0.388166;0;0;0;0;0;0;0;0;0;0.971136;0.693193;0;0.23183;0.126247;0.24536;0.281883;1.34769;1.07527;0.272397;3.54576e-18;0;0;0;0;3.1485e-13;0.00506735
9041;0.0219122;200.524;653.963;56.144;51.5895;8.45612;59.0885;0;0;0.9609;1.0592;1.79298;22.4338;25.3427;0;0;0;0;0;0;0.00284018;0.00372894;0.00947297;0.0148244;0.00162023;0.917509;1.43116;0.365045;0.477819;0.583101;0.699796;0;0;0;0;0;0;0;0;0;0.61028;0.465467;0;0.160428;0.0867832;0.174644;0.206357;0.998581;0.827884;0.233236;3.27321e-18;0;0;0;0;3.41039e-13;0.00506063
9042;0.0220389;201.179;633.316;156.897;38.6849;17.4084;55.9622;0;0;6.26883;6.34715;3.20458;11.5267;11.3377;0;0;0;0;0;0;0.0122545;0.0160781;0.0394676;0.0617672;0.00138335;1.21749;5.83531;1.60884;2.1489;1.35865;1.20463;0;0;0;0;0;0;0;0;0;0.401639;0.439388;0;0.172824;0.090509;0.182378;0.216928;1.06106;0.900632;0.260461;3.75504e-18;0;0;0;0;3.49649e-13;0.00490207
9043;0.0227061;202.683;648.834;135.403;42.9502;17.6355;58.3167;0;0;21.1945;18.7559;1.1797;1.0364;0.78373;0;0;0;0;0;0;0.801264;1.02405;1.67304;2.34945;0.00240984;0.612531;2.73759;0.838685;1.10329;0.831054;0.96728;0;0;0;0;0;0;0;0;0;0.270209;0.506699;0;0.241385;0.120962;0.235846;0.276181;1.36627;1.16769;0.330772;4.80148e-18;0;0;0;0;3.75099e-13;0.00498154
9044;0.0323253;200.979;632.212;50.6436;29.9758;19.4064;55.7505;0;0;0.0175157;0.0131693;20.701;5.2609;3.98325;0;0;0;0;0;0;1.93315;2.39619;3.16813;4.2063;0.00459606;0.446582;1.24126;0.403971;0.537925;0.537706;0.870688;0;0;0;0;0;0;0;0;0;0.208739;0.366492;0;0.176623;0.0876227;0.172993;0.206269;1.04655;0.921922;0.300094;4.82534e-18;0;0;0;0;3.79684e-13;0.00482825
9045;0.0255761;200.735;636.99;155.12;39.2221;18.8303;56.5267;0;0;8.84687e-05;5.12548e-05;23.1256;8.78405;7.31233;0;0;0;0;0;0;0.294022;0.367738;0.562526;0.759002;0.0307992;2.78462;5.1112;1.32158;1.74474;0.928088;1.29043;0;0;0;0;0;0;0;0;0;0.160376;0.34938;0;0.182752;0.0870373;0.17154;0.205521;1.04782;0.941416;0.327565;5.56425e-18;0;0;0;0;3.68478e-13;0.00453996
9046;0.0520531;201.734;600.659;324.528;14.9025;34.1491;51.0504;0;0;0.00146299;0.0006452;8.01755;3.72387;3.15901;0;0;0;0;0;0;0.0472296;0.060215;0.108062;0.151102;0.113687;8.1601;10.1792;2.51826;3.35353;1.2054;1.53731;0;0;0;0;0;0;0;0;0;0.245557;0.865691;0;0.514016;0.199469;0.339073;0.378932;1.86974;1.63431;0.496597;7.75317e-18;0;0;0;0;4.226e-13;0.00491671
9047;0.0366268;193.429;598.699;218.818;21.891;24.0014;50.6898;0;0;0.758807;0.248542;11.6176;4.80757;4.45841;0;0;0;0;0;0;0.0110772;0.0141072;0.0289935;0.0425233;0.148749;4.2307;3.29109;1.47712;2.09417;0.935387;1.61023;0;0;0;0;0;0;0;0;0;0.345794;1.63077;0;1.00508;0.329651;0.503278;0.535554;2.61077;2.26966;0.662077;1.03291e-17;0;0;0;0;6.72798e-13;0.00698723
9048;0.0204016;188.983;628.402;81.6552;42.3289;13.8064;55.2095;0;0;10.2855;3.28064;16.0844;6.16619;6.51218;0;0;0;0;0;0;0.0661333;0.0760488;0.113108;0.161433;0.164666;1.04492;0.44342;0.547402;0.86341;0.569542;1.67053;0;0;0;0;0;0;0;0;0;0.249312;1.1485;0;0.714531;0.244464;0.389296;0.423942;2.07451;1.86869;0.696844;1.29105e-17;0;0;0;0;9.95034e-13;0.00919258
9049;0.0203909;194.724;637.435;127.881;42.3233;18.4133;56.5942;0;0;9.81548;5.18052;14.8596;5.72798;6.73979;0;0;0;0;0;0;2.1389;2.21691;1.91382;2.47527;0.351072;0.59766;0.138053;0.306323;0.524993;0.393668;1.60718;0;0;0;0;0;0;0;0;0;0.163596;0.669715;0;0.416987;0.152017;0.259985;0.294392;1.4579;1.35214;0.689375;1.57129e-17;0;0;0;0;1.18413e-12;0.010091
9050;0.0228207;198.221;646.71;82.9433;44.9968;14.6137;57.9898;0;0;0.0586239;0.0847473;21.5933;10.4263;12.8339;0;0;0;0;0;0;0.833923;0.853862;0.749162;0.975669;1.4091;1.39293;0.212834;0.537226;0.93473;0.467485;1.77341;0;0;0;0;0;0;0;0;0;0.137522;0.452242;0;0.267113;0.100273;0.183777;0.216274;1.10213;1.03141;0.695675;1.93185e-17;0;0;0;0;1.23753e-12;0.0100094
9051;0.0280474;201.674;629.17;205.23;33.0685;23.5125;55.3476;0;0;0.0413977;0.0716238;7.5743;11.3921;13.9891;0;0;0;0;0;0;0.140269;0.146723;0.152845;0.206302;5.10838;4.49591;0.701069;1.79399;3.08698;0.775077;2.06252;0;0;0;0;0;0;0;0;0;0.213116;0.528367;0;0.269759;0.0981235;0.187984;0.224726;1.17071;1.04923;0.821516;2.59751e-17;0;0;0;0;1.28423e-12;0.00988109
9052;0.0380255;200.778;610.505;263.557;22.1445;28.3554;52.5073;0;0;0.851799;1.25754;0.559648;9.21937;10.2562;0;0;0;0;0;0;0.046408;0.0499881;0.0629785;0.0889079;1.3879;3.18666;1.25294;4.30697;7.37756;1.18103;2.19217;0;0;0;0;0;0;0;0;0;0.399937;0.773812;0;0.352414;0.144971;0.295865;0.349944;1.83854;1.58039;1.19072;3.85596e-17;0;0;0;0;1.52328e-12;0.0107945
9053;0.0236168;196.674;634.543;144.752;38.2299;19.4356;56.146;0;0;15.2213;18.1293;0.329267;2.48295;2.06706;0;0;0;0;0;0;1.08333;1.17939;1.27969;1.7159;0.690804;0.423667;0.237574;1.17748;1.98543;0.508389;1.21223;0;0;0;0;0;0;0;0;0;0.320285;0.556616;0;0.267377;0.147527;0.343731;0.412771;2.23699;1.89643;1.44735;4.9459e-17;0;0;0;0;1.73397e-12;0.0114759
